Geography,US_CS_2019,Pop_Est_2018,EV_2018,EV_total_2025,Weight_Range_low,Weight_Range_high,Housing_detached,Housing_units_1_attached,Apartments,One_car,Two_cars,Value_Median_dollars,Inc_household,DX32,DX90,lat,long
Mendocino_County,44,87606,270,3734,5957,464,29902,1222,4289,31844,10945,12910,53024,55,3,39.3528,-123.6011
Merced_County,21,274765,261,3609,8533,116,64055,1753,10692,73644,23407,29111,47735,78,1,37.2811,-121.0177
Modoc_County,2,8777,5,69,9016,116,4349,53,227,3492,1324,1257,37055,83,1,41.5135,-120.3648
Mono_County,6,14250,19,263,10787,696,5898,2123,5007,4711,2039,1728,55107,99,4,38.31,-119.6
Monterey_County,92,435594,1106,15295,7406,1276,88131,8985,32799,120033,37719,47213,71274,68,8,36.3539,-121.5766
Napa_County,125,139417,822,11367,7084,116,38486,3309,8562,46536,13581,18326,86562,65,1,38.2777,-122.2647
Nevada_County,25,99696,318,4398,7084,696,43934,1124,4337,38686,10604,15952,65385,65,4,39.1836,-120.8847
Orange_County,477,3185968,25798,356757,10304,232,550268,129514,353016,978336,283080,425508,86217,95,1,33.8632,-117.7918
Placer_County,58,393149,2297,31765,6601,928,123961,5255,24281,133212,37351,59043,80728,61,6,39.3021,-120.3837
Plumas_County,2,18804,18,249,11431,464,12806,400,568,7660,2645,2990,53909,105,3,39.9733,-120.9419
Riverside_County,250,2450758,5503,76100,13524,116,562362,47640,129278,678894,208081,273315,63944,124,1,33.6186,-114.7142
Sacramento_County,182,1540975,4814,66572,7406,1044,367032,35514,138879,493444,182562,199227,63045,68,6,38.5499,-121.4374
San_Benito_County,6,61537,133,1839,8050,928,14231,890,1982,16975,3101,6708,66780,74,6,36.8422,-121.3622
San_Bernardino_County,122,2171603,3886,53739,9338,696,505060,26986,127061,590317,181374,227647,60420,86,4,34.1942,-116.9131
San_Diego_County,521,3343364,19292,266787,9177,348,613113,112939,403432,1049197,344851,443794,76207,84,2,32.7214,-116.4631
San_Francisco_County,198,883305,6653,92003,11914,116,77943,46122,226947,249513,146887,74532,110816,109,1,37.765,-122.4348
San_Joaquin_County,41,752660,1582,21877,13202,116,175178,11794,38493,209140,63553,83295,61164,121,1,38.0011,-121.3665
San_Luis_County,114,284010,1303,18019,4830,348,80791,6527,18522,100265,29541,41861,71880,44,2,35.1792,-120.3919
San_Mateo_County,240,769545,10604,146641,4186,812,155153,22969,86363,247894,77958,102954,116653,38,5,37.5625,-122.4364
Santa_Barbara_County,84,446527,1949,26952,9338,232,90313,11102,41648,135337,44848,53483,71106,86,1,34.6538,-120.4513
Santa_Clara_County,507,1937570,33834,467886,9016,580,348469,69412,209928,598528,173877,257549,119035,83,4,37.3185,-121.9608
Santa_Cruz_County,35,274255,2041,28225,10948,116,68031,8079,19692,89784,27921,35364,79705,100,1,36.9911,-121.7978
