GEO.id,GEO.id2,GEO.display-label,rescen42010,respop72018,,,,HC01_VC03,HC02_VC03,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC50,HC02_VC50,HC01_VC64,HC02_VC64,HC01_VC69,HC02_VC69,HC01_VC70,HC02_VC70,HC01_VC84,HC02_VC84,HC03_VC84,HC01_VC85,HC02_VC85,HC03_VC85,HC04_VC85,HC01_VC120,HC02_VC120,HC03_VC120,HC04_VC120,HC01_VC121,HC02_VC121,HC03_VC121,HC04_VC121,HC01_VC122,HC02_VC122,HC03_VC122,HC04_VC122,HC01_VC123,HC02_VC123,HC03_VC123,HC04_VC123,HC01_VC124,HC02_VC124,HC03_VC124,HC04_VC124,HC01_VC125,HC02_VC125,HC03_VC125,HC04_VC125,HC01_VC126,HC02_VC126,HC03_VC126,HC04_VC126,HC01_VC127,HC02_VC127,HC03_VC127,HC04_VC127,HC01_VC128,HC02_VC128
0500000US06039,6039,"Madera County, California",150865,157672,208,,,50090,125,50090,125,40003,649,79.9,1.3,939,295,1.9,0.6,911,245,1.8,0.5,2393,389,4.8,0.8,1151,248,2.3,0.5,519,196,1,0.4,859,229,1.7,0.5,5.4,0.2,44458,588,3.11,0.06,3.59,0.11,44458,588,44458,2774,474,6.2,1,1216,210,4.4,0.7,2373,349,8.6,1.2,3785,428,13.7,1.6,4454,475,16.1,1.6,8228,655,29.7,2.2,5624,507,20.3,1.7,1502,280,5.4,1,519,141,1.9,0.5,220400,5593
0500000US06041,6041,"Marin County, California",252409,259666,3830,,,112606,192,112606,192,71199,844,63.2,0.7,9753,559,8.7,0.5,3665,382,3.3,0.3,4637,547,4.1,0.5,6285,553,5.6,0.5,5416,491,4.8,0.4,9893,627,8.8,0.6,5.5,0.2,104846,794,2.43,0.03,2.38,0.04,104846,794,104846,5171,492,4.9,0.5,1282,218,1.9,0.3,666,164,1,0.2,496,144,0.7,0.2,448,122,0.7,0.2,1617,265,2.4,0.4,5832,465,8.7,0.7,29282,841,43.5,1,27673,744,41.1,0.9,908800,8635
0500000US06043,6043,"Mariposa County, California",18251,17471,26,,,10378,147,10378,147,7570,307,72.9,2.7,90,60,0.9,0.6,228,107,2.2,1,176,99,1.7,1,117,61,1.1,0.6,40,37,0.4,0.4,106,65,1,0.6,5.1,0.2,7434,366,2.22,0.12,2.26,0.21,7434,366,7434,239,94,3.2,1.3,209,74,4,1.4,332,89,6.3,1.7,526,133,10,2.5,592,149,11.3,2.7,1515,202,28.8,3.8,1330,209,25.3,3.6,557,142,10.6,2.7,198,87,3.8,1.7,259500,14977
0500000US06045,6045,"Mendocino County, California",87841,87606,270,,,40851,133,40851,133,29902,604,73.2,1.5,1222,275,3,0.7,1036,245,2.5,0.6,1288,288,3.2,0.7,1356,268,3.3,0.7,723,193,1.8,0.5,922,217,2.3,0.5,4.7,0.1,34182,589,2.44,0.07,2.58,0.08,34182,589,34182,2338,344,6.8,1,1573,318,7.8,1.5,1111,195,5.5,0.9,796,180,3.9,0.9,1076,204,5.3,1,3910,358,19.3,1.8,6973,470,34.5,2.2,3883,408,19.2,1.9,908,181,4.5,0.9,338000,8944
0500000US06047,6047,"Merced County, California",255793,274765,261,,,84488,183,84488,183,64055,791,75.8,0.9,1753,277,2.1,0.3,2597,357,3.1,0.4,3860,437,4.6,0.5,3593,410,4.3,0.5,1218,216,1.4,0.3,2021,215,2.4,0.3,5.4,0.1,79261,562,3.16,0.05,3.45,0.06,79261,562,79261,5617,488,7.1,0.6,2581,249,6.3,0.6,3683,390,8.9,0.9,6370,527,15.5,1.3,8442,607,20.5,1.4,9664,681,23.5,1.5,7396,535,17.9,1.3,2312,312,5.6,0.7,758,213,1.8,0.5,196200,5679
0500000US06049,6049,"Modoc County, California",9686,8777,5,,,5250,58,5250,58,4349,193,82.8,3.6,53,48,1,0.9,38,26,0.7,0.5,65,51,1.2,1,85,87,1.6,1.6,29,35,0.6,0.7,48,50,0.9,1,5,0.2,3638,220,2.35,0.16,2.3,0.3,3638,220,3638,146,74,4,2,353,115,13.3,4.2,614,146,23.1,5.2,391,106,14.7,3.8,494,125,18.6,4.6,277,100,10.4,3.7,328,106,12.4,3.8,100,48,3.8,1.8,98,53,3.7,2,143100,29558
0500000US06051,6051,"Mono County, California",14202,14250,19,,,14041,34,14041,34,5898,426,42,3,2123,305,15.1,2.2,291,161,2.1,1.1,1492,274,10.6,2,1550,328,11,2.3,1075,243,7.7,1.7,890,183,6.3,1.3,4.6,0.2,4899,445,2.6,0.29,3.06,0.43,4899,445,4899,188,113,3.8,2.2,86,67,3.1,2.4,179,153,6.5,5.3,128,91,4.7,3.3,346,102,12.6,3.6,584,165,21.2,6.2,805,220,29.3,6.5,608,194,22.1,6.4,14,16,0.5,0.6,311700,38126
0500000US06053,6053,"Monterey County, California",415057,435594,1106,,,140548,303,140548,303,88131,961,62.7,0.7,8985,652,6.4,0.5,4099,448,2.9,0.3,8239,620,5.9,0.4,10206,632,7.3,0.5,6870,445,4.9,0.3,7484,479,5.3,0.3,5,0.1,125939,761,3.13,0.04,3.47,0.04,125939,761,125939,5906,464,4.7,0.4,2883,277,4.5,0.4,1173,179,1.8,0.3,1463,256,2.3,0.4,2246,282,3.5,0.4,8828,624,13.8,0.9,20733,655,32.5,0.9,18702,736,29.3,1,7845,396,12.3,0.6,441000,6591
0500000US06055,6055,"Napa County, California",136484,139417,822,,,55456,208,55456,208,38486,579,69.4,1,3309,313,6,0.6,1501,227,2.7,0.4,2173,287,3.9,0.5,1904,314,3.4,0.6,1171,211,2.1,0.4,3314,344,6,0.6,5.4,0.1,49044,524,2.71,0.04,2.93,0.07,49044,524,49044,2508,304,5.1,0.6,1126,180,3.6,0.6,1124,182,3.6,0.6,596,121,1.9,0.4,577,107,1.9,0.3,1823,213,5.9,0.7,7940,388,25.7,1.1,13199,512,42.6,1.4,4569,316,14.8,1,560500,8513
0500000US06057,6057,"Nevada County, California",98764,99696,318,,,53393,110,53393,110,43934,545,82.3,1,1124,233,2.1,0.4,747,231,1.4,0.4,1471,309,2.8,0.6,846,209,1.6,0.4,501,160,0.9,0.3,1519,268,2.8,0.5,5.5,0.1,40386,668,2.42,0.05,2.42,0.12,40386,668,40386,1700,314,4.2,0.8,1713,290,5.7,0.9,571,139,1.9,0.5,577,142,1.9,0.5,1180,255,3.9,0.8,5654,487,18.9,1.5,11927,619,39.8,2,7338,465,24.5,1.5,1015,208,3.4,0.7,379800,6995
