LATITUDE,LONGITUDE
37.3647,-122.0042
40.4633,-123.5239
35.5317,-118.6303
37.2331,-119.5047
33.7997,-118.391
33.8342,-118.3759
34.005,-118.4139
40.6721,-122.2913
41.3325,-122.33278
33.5978,-117.6795
37.2888,-120.5158
34.2069,-117.7606
32.8488,-115.5666
37.0855,-122.0797
36.8053,-119.8222
33.1311,-117.1081
39.318,-120.145
37.8792,-121.9303
32.81583,-117.13944
34.746,-119.1103
38.2475,-122.8119
41.1936,-120.9447
34.6344,-117.5503
38.92,-119.92
37.5625,-122.4364
33.0216,-117.0813
36.8422,-121.365
39.3,-120.18
39.1878,-123.7096
38.851,-121.123
37.75027,-119.58972
39.06,-120.1292
41.3322,-120.4725
39.1836,-120.8847
34.4061,-118.7569
35.8889,-118.6333
35.8717,-117.9183
37.2319,-119.5083
40.3375,-123.0656
33.8647,-117.8425
39.3167,-120.8375
37.3185,-121.9608
40.6194,-121.8994
37.5422,-122.0158
39.165,-120.8566
39.4518,-121.2801
35.3056,-120.6619
33.2354,-117.2322
32.7698,-116.9593
37.0367,-119.9842
37.9226,-122.3068
39.45,-120.29
41.2944,-120.8639
38.698,-121.0869
38.7839,-122.9628
33.2559,-116.4036
41.4272,-121.4639
39.2372,-121.2666
36.9111,-119.305
41.4789,-122.4539
34.1472,-115.1219
37.4767,-122.2386
41.6294,-121.2981
33.5286,-117.2306
34.2468,-117.1713
39.0308,-123.0806
40.54,-121.5803
37.0153,-119.5678
41.0064,-121.9833
38.5349,-121.7761
34.5358,-119.7833
37.8331,-120.5
36.3349,-119.6743
33.1934,-116.2786
34.62944,-118.08361
34.4258,-119.8425
33.7902,-118.3369
36.4622,-116.8669
38.8817,-120.0339
34.0158,-117.4498
34.21667,-119.08333
39.52316,-122.3048
38.6833,-119.7667
38.4883,-120.325
33.555,-116.673
39.17,-120.15
37.7592,-119.8208
36.31889,-119.62889
38.45579,-122.71335
33.22157,-117.03817
34.1223,-117.5977
34.0867,-116.5618
40.9231,-124.084
34.6831,-118.0802
34.2066,-119.1375
38.85,-120.08
35.6564,-120.9242
32.8536,-116.8947
37.5019,-121.7355
33.4392,-117.1904
34.1553,-117.9078
38.7817,-122.9169
38.3894,-120.6511
40.4988,-121.8433
34.7586,-120.4861
34.4311,-118.6828
38.8088,-121.286
37.8891,-121.2258
40.4833,-124.1038
37.3786,-118.4178
35.1792,-120.3919
34.3317,-118.0303
34.7411,-118.2116
41.5135,-120.3648
40.4734,-123.7013
35.7706,-115.9092
36.5625,-117.4736
33.2905,-116.9568
33.1852,-117.1282
32.8358,-116.7774
34.1819,-118.5744
37.728,-122.5052
33.21944,-117.34944
37.9567,-119.1194
32.9083,-114.4944
34.1442,-117.381
34.4199,-117.2647
39.425,-122.9772
37.7705,-122.4269
33.0757,-117.292
37.5514,-118.6672
39.49,-120.28
34.4141,-119.8796
33.7086,-116.2152
38.515,-123.2447
36.7764,-121.7284
35.9808,-121.1174
35.3741,-120.6375
41.775,-122.9503
36.8611,-119.6931
38.69556,-121.58972
38.2102,-122.2847
34.1294,-116.3879
38.69,-119.99
33.9862,-118.0664
37.1725,-121.703
35.9717,-118.545
37.6197,-122.3647
40.9258,-121.5856
35.8922,-118.915
38.44,-119.37
36.4805,-121.7244
36.295,-119.7914
41.6853,-122.5942
40.3442,-121.7136
36.7269,-120.7658
39.3036,-121.1172
40.7308,-120.3164
39.8716,-121.6108
33.9958,-119.7222
39.2241,-121.594
32.6058,-116.6089
37.5684,-122.3012
38.757,-120.5775
38.6953,-120.849
36.7242,-118.9425
36.602,-117.1449
37.3147,-119.0383
36.8839,-119.4658
35.0964,-119.7728
38.5613,-121.8522
33.8261,-117.7781
40.7817,-120.7844
33.0164,-116.6339
40.5175,-122.2986
36.9092,-119.0883
35.4186,-119.0508
40.97806,-124.10861
37.9833,-122.0692
35.37,-117.5683
34.3175,-117.5019
34.6166,-120.1988
34.1543,-118.42
39.7458,-122.1997
37.5185,-122.3432
40.1417,-120.3533
36.59031,-121.9055
33.6186,-114.7142
34.4477,-119.2275
38.61,-119.92
40.0775,-123.8239
38.4,-119.54
39.3348,-121.6458
37.8172,-121.7789
38.72,-119.89
35.1542,-117.1756
39.0911,-120.948
33.0758,-116.5908
41.1833,-122.2736
34.0232,-117.7965
37.6927,-121.8144
38.3753,-122.9035
34.0178,-116.1878
39.1682,-122.9778
37.1811,-122.0911
37.3053,-122.255
39.5091,-123.7566
39.0189,-122.4119
34.7675,-114.6188
36.0931,-118.2603
41.7861,-122.0056
38.5499,-121.4374
39.5633,-120.8238
34.5894,-118.4547
33.5697,-116.073
40.2821,-122.3784
36.33333,-119.95
33.8767,-117.3089
32.9083,-116.6227
36.3158,-119.637
36.2932,-119.7718
38.3775,-121.9575
40.8724,-124.0973
35.1231,-115.4114
37.6931,-121.0565
37.2811,-121.0177
38.2719,-119.2892
40.7642,-124.1476
