Fuel Type Code,Station Name,Street Address,City,State,ZIP,Stations,Groups With Access Code,EV Network,Latitude,Longitude,Date Last Confirmed,ID,EV Connector Types,Access Code
ELEC,Caltrans - District 8,451 Slover Ave,Bloomington,CA,92316,1,Private,,34.062956,-117.378269,8/7/18,86062,J1772,private
ELEC,PLATFORM,8830 Washington Blvd,Culver City,CA,90232,1,Public,ChargePoint Network,34.0270654,-118.3870282,3/8/19,86103,J1772,public
ELEC,TW Patterson,2014 Tulare St,Fresno,CA,93721,1,Public,,36.733853,-119.78957,5/3/18,86203,J1772,public
ELEC,LANCE-KASHIAN,3060 E Campus Pointe Dr,Fresno,CA,93710,1,Public,ChargePoint Network,36.8127448,-119.7336342,3/8/19,86215,J1772,public
ELEC,LANCE-KASHIAN,3085 E Campus Pointe Dr,Fresno,CA,93710,1,Public,ChargePoint Network,36.8113721,-119.7347182,3/8/19,86216,J1772,public
ELEC,LANCE-KASHIAN,161-187 E Audubon Dr,Fresno,CA,93720,1,Public,ChargePoint Network,36.8606819,-119.784014,3/8/19,86217,J1772,public
ELEC,LANCE-KASHIAN,190 El Camino,Fresno,CA,93720,1,Public,ChargePoint Network,36.8484939,-119.7880836,3/8/19,86218,J1772,public
ELEC,101 LOMBARD ST,1425 Sansome St,San Francisco,CA,94111,1,Public,ChargePoint Network,37.8035066,-122.4035941,3/8/19,86223,J1772,public
ELEC,DOMAIN WEHO,7141 Santa Monica Blvd,West Hollywood,CA,90046,1,Public,ChargePoint Network,34.090951,-118.345815,3/8/19,86231,J1772,public
ELEC,EV CHARGING,2100 Moorpark Ave,San Jose,CA,95128,1,Public,ChargePoint Network,37.316103,-121.929911,3/8/19,86242,J1772,public
ELEC,888 DISNEYLAND,888 Disneyland Dr,Anaheim,CA,92802,1,Public,ChargePoint Network,33.820733,-117.922228,3/8/19,86244,J1772,public
ELEC,CNTYOFRIVERSIDE,6851 Van Buren Blvd,Riverside,CA,92509,1,Public,ChargePoint Network,33.9664015,-117.4669864,3/8/19,86247,J1772,public
ELEC,LINCOLN PROPERY,21215 Burbank Blvd,Los Angeles,CA,91367,1,Public,ChargePoint Network,34.173912,-118.59311,3/8/19,86260,J1772,public
ELEC,SANTA CRUZ CNTY,691-699 Ocean St,Santa Cruz,CA,95060,1,Public,ChargePoint Network,36.9776681,-122.0208137,3/8/19,86265,J1772,public
ELEC,Bridge Street Inn,4314 Bridge St,Cambria,CA,93428,1,Public,,35.565891,-121.081642,9/10/18,86270,J1772,public
ELEC,EL SEGUNDO,100-198 E Holly Ave,El Segundo,CA,90245,1,Public,ChargePoint Network,33.9208385,-118.4149423,3/8/19,86279,J1772,public
ELEC,CITY ADMIN,201-291 N Tipton St,Visalia,CA,93292,1,Public,ChargePoint Network,36.331076,-119.28687,3/8/19,86280,J1772,public
ELEC,2400 FENTON,2420 Fenton St,Chula Vista,CA,91914,1,Public,ChargePoint Network,32.6520723,-116.9603856,3/8/19,86292,J1772,public
ELEC,GOLDRICH & KEST,225 S Olive St,Los Angeles,CA,90012,1,Public,ChargePoint Network,34.053407,-118.249858,3/8/19,86299,J1772,public
ELEC,UDR,1984 El Camino Real,Mountain View,CA,94040,1,Public,ChargePoint Network,37.3954355,-122.0984531,3/8/19,86300,J1772,public
ELEC,UDR,1984 W El Camino Real,Mountain View,CA,94040,1,Public,ChargePoint Network,37.3953697,-122.0990843,3/8/19,86301,J1772,public
ELEC,MTN VIEW BMW,150 E El Camino Real,Mountain View,CA,94041,1,Public,ChargePoint Network,37.3800083,-122.0712144,3/8/19,86304,J1772,public
ELEC,Napa Valley Lodge,"2230 Madison St, Yountville",Yountville,CA,94599,1,Public,SemaCharge Network,38.4058399,-122.3689378,3/8/19,86694,J1772,public
ELEC,MPCSD,95 Edge Road,Atherton,CA,94027,1,Public,ChargePoint Network,37.4662058,-122.1708245,3/8/19,86698,J1772,public
ELEC,MPCSD,181 Encinal Ave,Menlo Park,CA,94025,1,Public,ChargePoint Network,37.4633919,-122.1864646,3/8/19,86699,J1772,public
ELEC,MPCSD,1895 Oak Knoll Lane,Menlo Park,CA,94025,1,Public,ChargePoint Network,37.431149,-122.1915369,3/8/19,86700,J1772,public
ELEC,MPCSD,275 Elliott Dr,Menlo Park,CA,94025,1,Public,ChargePoint Network,37.4595416,-122.1493812,3/8/19,86701,J1772,public
ELEC,HARBOR ASSOC,14103 Myford Rd,Tustin,CA,92780,1,Public,ChargePoint Network,33.7198675,-117.8012832,3/8/19,86702,J1772,public
ELEC,HARBOR ASSOC,14192 Franklin Ave,Tustin,CA,92780,1,Public,ChargePoint Network,33.7207287,-117.803547,3/8/19,86703,J1772,public
ELEC,NORMREEVESHONDA,16 Auto Center Dr,Irvine,CA,92618,1,Public,ChargePoint Network,33.631281,-117.721905,3/8/19,86704,CHADEMO,public
ELEC,VALLEY FAIR,2855 Stevens Creek Blvd,San Jose,CA,95050,1,Public,ChargePoint Network,37.323664,-121.944472,3/8/19,86705,J1772,public
ELEC,Boardwalk at Palm Bluffs,680 W Shaw Ave,Fresno,CA,93704,1,Public - Credit card at all times,,36.808484,-119.805155,5/3/18,86711,J1772,public
ELEC,"Endologix, Inc.",2 Musick,Irvine,CA,92618,1,Public,SemaCharge Network,33.6602861,-117.704774,3/8/19,86742,J1772,public
ELEC,MPCSD,1100 Elder Ave,Menlo Park,CA,94025,1,Public,ChargePoint Network,37.439899,-122.195481,3/8/19,86744,J1772,public
ELEC,DC SOLAR,1836-1878 Orange Ave,Long Beach,CA,90806,1,Public,ChargePoint Network,33.7906562,-118.1759372,3/8/19,86747,J1772,public
ELEC,MERGE,5550 Carmel Mountain Rd,San Diego,CA,92130,1,Public,ChargePoint Network,32.928903,-117.197543,3/8/19,86749,J1772,public
ELEC,GAREY,115 S Garey St,Los Angeles,CA,90012,1,Public,ChargePoint Network,34.048058,-118.235429,3/8/19,86759,J1772,public
ELEC,Del Mar Gateway,11978 El Camino Real,San Diego,CA,92130,1,Public - Card key at all times,SemaCharge Network,32.9364517,-117.2386939,3/8/19,86783,J1772,public
ELEC,UCSD,4100 Miramar St,La Jolla,CA,92037,1,Public,ChargePoint Network,32.8755142,-117.2238789,3/8/19,86789,J1772,public
ELEC,BRBC RP,5000 Roberts Lake Rd,Rohnert Park,CA,94928,1,Public,ChargePoint Network,38.364723,-122.710177,3/8/19,86851,J1772,public
