STATION,County,NAME,LATITUDE,LONGITUDE,LatLong,,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
USW00014768,Monroe,"ROCHESTER GREATER INTERNATIONAL, NY US",43.1167,-77.6767,"(43.1167, -77.6767)",,164.3,2018,965,3,37,143,22,6287
USC00300937,Monroe,"BROCKPORT, NY US",43.216,-77.9529,"(43.216, -77.9529)",,151.8,2018,846,5,45,137,9,6627
US1NYMR0050,Monroe,"WEBSTER 3.0 W, NY US",43.2127,-77.481,"(43.2127, -77.481)",,119.8,2018,,,,,,
US1NYMR0015,Monroe,"BROCKPORT 0.6 WNW, NY US",43.2161,-77.9525,"(43.2161, -77.9525)",,117.7,2018,,,,,,
USC00302031,Montgomery,"DELANSON 2 NE, NY US",42.7672,-74.1711,"(42.7672, -74.1711)",,299.9,2018,,,,,,
US1NYSC0017,Montgomery,"PATTERSONVILLE 4.2 SSW, NY US",42.8316,-74.1152,"(42.8316, -74.1152)",,389.2,2018,,,,,,
US1NYMG0001,Montgomery,"FORT PLAIN 0.2 SE, NY US",42.93,-74.6264,"(42.93, -74.6264)",,94.2,2018,,,,,,
US1NYMG0003,Montgomery,"HESSVILLE 1.8 WSW, NY US",42.8643,-74.7214,"(42.8643, -74.7214)",,320,2018,,,,,,
US1NYMG0002,Montgomery,"FONDA 5.2 W, NY US",42.9643,-74.4756,"(42.9643, -74.4756)",,291.4,2018,,,,,,
USW00004789,Montgomery,"MONTGOMERY ORANGE CO AIRPORT, NY US",41.50917,-74.265,"(41.50917, -74.265)",,111.3,2018,,,,,,6084
US1NYNS0007,Nassau,"FLORAL PARK 0.4 W, NY US",40.723,-73.711,"(40.723, -73.711)",,24.1,2018,,,,,,
US1NYNS0046,Nassau,"MASSAPEQUA PARK 1.2 N, NY US",40.6981,-73.4499,"(40.6981, -73.4499)",,10.7,2018,,,,,,
US1NYNS0018,Nassau,"HICKSVILLE 1.3 ENE, NY US",40.7687,-73.5017,"(40.7687, -73.5017)",,,,,,,,,
new York,,,,,,,,,,,,,,
USW00094728,New York,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,"(40.77898, -73.96925)",,42.7,2018,1393,0,14,152,21,4591
NIAGARA,,,,,,,,,,3.6,39,140.4,12.8,
US1NYNG0027,Niagara,"LOCKPORT 2.8 WNW, NY US",43.1898,-78.7442,"(43.1898, -78.7442)",,139.6,2018,,,,,,
USC00307425,Niagara,"SANBORN 4 NE, NY US",43.1701,-78.81791,"(43.1701, -78.81791)",,192.9,2018,,,,,,
USC00304207,Niagara,"JAMESTOWN 4 ENE, NY US",42.11,-79.1591,"(42.11, -79.1591)",,381,2018,648,8,49,142,6,6951
USC00304844,Niagara,"LOCKPORT 4 E, NY US",43.18769,-78.60912,"(43.18769, -78.60912)",,185.9,2018,882,4,41,142,9,6522
USW00004724,Niagara,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,"(43.10833, -78.93806)",,178.3,2018,899,1,36,142,15,6210
US1NYNG0002,Niagara,"NORTH TONAWANDA 1.0 NNE, NY US",43.0573,-78.8617,"(43.0573, -78.8617)",,176.2,2018,,,,,,
USC00305715,Niagara,"NEWFANE 1 W, NY US",43.29011,-78.72282,"(43.29011, -78.72282)",,103.6,2018,,,,,,
USC00305840,Niagara,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.11386,-78.93533,"(43.11386, -78.93533)",,179.2,2018,959,3,39,143,15,6263
USC00306047,Niagara,"NORTH TONAWANDA, NY US",43.05734,-78.86171,"(43.05734, -78.86171)",,176.2,2018,,,,,,6413
USC00309690,Niagara,"YOUNGSTOWN 2 NE, NY US",43.26818,-79.00922,"(43.26818, -79.00922)",,85.6,2018,876,2,30,133,19,6412
ONEIDA,,,,,,,,,,15.5,67,127,7.5,
USC00300785,Oneida,"BOONVILLE 4 SSW, NY US",43.4361,-75.3697,"(43.4361, -75.3697)",,472.4,2018,348,24,97,110,1,8617
US1NYOD0043,Oneida,"HOLLAND PATENT 1.1 WNW, NY US",43.2471,-75.2775,"(43.2471, -75.2775)",,237.4,2018,,,,,,
USW00064775,Oneida,"ROME GRIFFISS AIRFIELD, NY US",43.23389,-75.41167,"(43.23389, -75.41167)",,158.2,2018,719,13,53,135,14,7186
USC00308578,Oneida,"TRENTON FALLS, NY US",43.2761,-75.1566,"(43.2761, -75.1566)",,243.8,2018,604,12,59,129,7,7333
USC00301110,Oneida,"CAMDEN, NY US",43.3305,-75.8416,"(43.3305, -75.8416)",,176.8,2018,579,13,59,134,8,7615
USC00309248,Oneida,"WESTMORELAND 4 N, NY US",43.1595,-75.4611,"(43.1595, -75.4611)",,172.2,2018,,,,,,
USC00306300,Oneida,"OSCEOLA, NY US",43.4991,-75.7122,"(43.4991, -75.7122)",,,,,,,,,
ONONDAGA,,,,,,,,,,6,45,143,15,
USW00014771,Onondaga,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,"(43.1111, -76.1038)",,125.9,2018,785,6,45,143,15,6689
US1NYOG0046,Onondaga,"BALDWINSVILLE 3.5 NE, NY US",43.1951,-76.2883,"(43.1951, -76.2883)",,118.9,2018,,,,,,
Ontario,,,,,,,,,,5.5,39,141.5,10.5,
USC00301152,Ontario,"CANANDAIGUA 3 S, NY US",42.84505,-77.28071,"(42.84505, -77.28071)",,219.5,2018,867,3,39,139,13,6546
USC00303955,Ontario,"HONEOYE, NY US",42.79148,-77.51331,"(42.79148, -77.51331)",,638,,,8,39,144,8,6863
ORANGE,,,,,,,,,,9,25,138.5,20.5,
USC00309292,Orange,"WEST POINT, NY US",41.3906,-73.9608,"(41.3906, -73.9608)",,97.5,2018,,,21,142,23,
US1NYOR0004,Orange,"WARWICK 3.2 WNW, NY US",41.2684,-74.416,"(41.2684, -74.416)",,189.3,2018,,,,,,
US1NYOR0018,Orange,"WALDEN 1.3 S, NY US",41.541,-74.1879,"(41.541, -74.1879)",,125.9,2018,,,,,,
US1NYOR0017,Orange,"PINE BUSH 3.4 WSW, NY US",41.588,-74.3577,"(41.588, -74.3577)",,126.8,2018,,,,,,
USC00306774,Orange,"PORT JERVIS, NY US",41.3891,-74.6905,"(41.3891, -74.6905)",,176.8,2018,799,9,29,135,18,6540
USC00305236,Orleans,"MEDINA, NY US",43.2093,-78.3894,"(43.2093, -78.3894)",,167.6,2018,,,,,,
US1NYOL0005,Orleans,"MEDINA 0.4 WNW, NY US",43.223,-78.3954,"(43.223, -78.3954)",,164.6,2018,,,,,,
OSWEGO,,,,,,,,,,9.333333333,37.66666667,135.6666667,16.66666667,
US1NYOS0015,Oswego,"MINETTO 0.1 SE, NY US",43.3977,-76.4796,"(43.3977, -76.4796)",,107,2018,,,,,,
US1NYOS0020,Oswego,"FULTON 0.2 W, NY US",43.3165,-76.4185,"(43.3165, -76.4185)",,121,2018,,,,,,
USC00302610,Oswego,"ELMIRA, NY US",42.0997,-76.8358,"(42.0997, -76.8358)",,288.6,2018,753,12,35,139,22,6821
USC00306314,Oswego,"OSWEGO EAST, NY US",43.4622,-76.4934,"(43.4622, -76.4934)",,106.7,2018,813,6,38,130,9,6437
USW00054757,Oswego,"WELLSVILLE MUNICIPAL AIRPORT, NY US",42.10944,-77.99194,"(42.10944, -77.99194)",,647.4,2018,,,,,,
US1NYOS0003,Oswego,"OSWEGO 5.0 ESE, NY US",43.4437,-76.4052,"(43.4437, -76.4052)",,139,2018,,,,,,
USW00054773,Oswego,"FULTON OSWEGO CO AIRPORT, NY US",43.34972,-76.38472,"(43.34972, -76.38472)",,144.8,2018,,,,,,
USC00306376,Oswego,"PALERMO 2 SSE, NY US",43.3319,-76.2691,"(43.3319, -76.2691)",,135.6,2018,,,,,,
USC00300608,Oswego,"BENNETTS BRIDGE, NY US",43.5318,-75.9526,"(43.5318, -75.9526)",,201.2,2018,,,,,,
USC00303087,Oswego,"FULTON, NY US",43.3049,-76.3938,"(43.3049, -76.3938)",,109.7,2018,835,10,40,138,19,6732
US1NYOG0012,Oswego,"CLAY 4.6 NW, NY US",43.2,-76.26,"(43.2, -76.26)",,115.8,2018,,,,,,
USC00306867,Oswego,"PULASKI, NY US",43.5696,-76.1163,"(43.5696, -76.1163)",,121.6,2018,,,,,,7666
US1NYMD0016,Oswego,"CHITTENANGO 2.1 ESE, NY US",43.033,-75.8348,"(43.033, -75.8348)",,208.2,2018,,,,,,
OTSEGO,,,,,,,,,,11,86,74,2,
USC00301752,Otsego,"COOPERSTOWN, NY US",42.7166,-74.9266,"(42.7166, -74.9266)",,383.1,2018,242,11,86,74,2,
USC00305113,Otsego,"MARYLAND 6 SW, NY US",42.4694,-75.0105,"(42.4694, -75.0105)",,373.4,2018,,,,,,
US1NYOT0011,Otsego,"HARTWICK, NY US",42.6599,-75.05,"(42.6599, -75.05)",,406.9,2018,,,,,,
PUTNAM,,,,,,,,,,5,42,127,3.5,
USC00301211,Putnam,"CARMEL 4 N, NY US",41.4725,-73.655,"(41.4725, -73.655)",,207.3,2018,578,4,28,122,0,6540
USC00303184,Putnam,"GENEVA RESEARCH FARM, NY US",42.8766,-77.0307,"(42.8766, -77.0307)",,218.8,2018,669,6,56,132,7,6944
US1NYPT0004,Putnam,"COLD SPRING 8.1 NE, NY US",41.497,-73.8369,"(41.497, -73.8369)",,137.5,2018,,,,,,
QUEENS,,,,,,,,,,0,13,149.5,23,
USW00014732,Queens,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,"(40.7792, -73.88)",,3.4,2018,1661,0,12,158,38,4449
USW00094789,Queens,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,"(40.6386, -73.7622)",,3.4,2018,1185,0,14,141,8,4867
RENSSELAER,,,,,,,,,,17,37,140,16,
USC00301068,Rensselaer,"BUSKIRK, NY US",42.9361,-73.43257,"(42.9361, -73.43257)",,152.1,2018,658,17,37,140,16,
