STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CLDD,DT00,DX32,DX70,DX90,HTDD
USC00305236,"MEDINA, NY US",43.2093,-78.3894,167.6,2018,,,,,,
US1NYTM0004,"GROTON 0.5 NW, NY US",42.5913,-76.372,315.2,2018,,,,,,
USR0000NSTO,"STONYKILL NEW YORK, NY US",41.5,-73.9,61,2018,1062,2,20,147,25,5654
US1NYCN0016,"BAINBRIDGE 2.9 WSW, NY US",42.2872,-75.5363,348.7,2018,,,,,,
US1NYSF0092,"AMITYVILLE 0.6 NNE, NY US",40.6772,-73.4103,6.1,2018,,,,,,
US1NYNG0027,"LOCKPORT 2.8 WNW, NY US",43.1898,-78.7442,139.6,2018,,,,,,
USC00301625,"COLDEN 1 W, NY US",42.6472,-78.7111,467.9,2018,580,11,67,128,1,7358
US1NYDL0005,"DELHI 1.5 NNE, NY US",42.3003,-74.9026,462.1,2018,,,,,,
USC00306570,"PHONECIA 2 SW, NY US",42.0674,-74.3356,323.1,2018,,,,,,
USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",43.34972,-76.38472,144.8,2018,,,,,,
USC00308631,"TUPPER LAKE SUNMOUNT, NY US",44.2307,-74.4382,512.1,2018,,,,,,8779
USC00302036,"DELHI 2 SE, NY US",42.2533,-74.905,445,2018,,,,,,
USC00309049,"WEBSTER 2 NE, NY US",43.2419,-77.3882,83.8,2018,827,5,32,143,15,6448
USC00301068,"BUSKIRK, NY US",42.9361,-73.43257,152.1,2018,658,17,37,140,16,
USW00054778,"PENN YAN AIRPORT, NY US",42.6425,-77.05639,275.2,2018,,,,,,
USC00307425,"SANBORN 4 NE, NY US",43.1701,-78.81791,192.9,2018,,,,,,
USC00305248,"MELROSE 1 NE, NY US",42.85023,-73.60939,106.7,2018,,,,,,
US1NYHR0012,"DOLGEVILLE 1.9 NW, NY US",43.1232,-74.7974,312.7,2018,,,,,,
USC00302031,"DELANSON 2 NE, NY US",42.7672,-74.1711,299.9,2018,,,,,,
USC00300093,"ALLEGANY STATE PARK, NY US",42.1003,-78.7497,457.2,2018,521,10,57,136,2,7415
USC00302151,"DOWLING CEECOM, NY US",40.7211,-73.0908,1.5,2018,,,,,,
USC00305925,"NORTH CREEK 5 SE, NY US",43.6611,-73.8969,271.3,2018,,,,,,
US1NYCN0002,"NORWICH 5.7 NE, NY US",42.5833,-75.4333,548.6,2018,,,,,,
USR0000NSCH,"SCHROON LAKE NEW YORK, NY US",43.8,-73.7,249.9,2018,578,22,50,130,16,7621
US1NYER0098,"AMHERST 5.4 NNE, NY US",43.0521,-78.7643,176.8,2018,,,,,,
USC00309292,"WEST POINT, NY US",41.3906,-73.9608,97.5,2018,,,21,142,23,
US1NYCN0009,"NORWICH 5.4 W, NY US",42.5336,-75.6306,456.6,2018,,,,,,
USC00300889,"BRIDGEHAMPTON, NY US",40.952,-72.298,12.8,2018,676,0,14,123,2,5451
